Metric,Value,Percentage
Total Puzzles Processed,500,100.0%
Correctly Solved,4,0.8%
Failed,496,99.2%
,,
Fully Valid Paths,69,13.8%
Connected Paths,489,97.8%
Correct Start/End,71,14.2%
Non-Intersecting,496,99.2%
No Rule Violations,481,96.2%
,,
Avg Path Length,11.8 steps,
Min Path Length,1 steps,
Max Path Length,64 steps,
,,
Difficulty 1 Solved,1/86,1.2%
Difficulty 2 Solved,1/118,0.8%
Difficulty 3 Solved,2/121,1.7%
Difficulty 4 Solved,0/86,0.0%
Difficulty 5 Solved,0/89,0.0%
,,
Total Time,274251.7 seconds,
Avg Time per Puzzle,548.50 seconds,
Puzzles per Minute,0.1,
